Timestamps,Region_1,Region_2,Region_3,Region_4
16.1,-3.0005552994262322e-05,-0.00028776231667424623,-0.0031631980403400805,-0.0022563879768627993
16.2,1.2379494441529259e-05,-0.000247940368213157,-0.0031095041887095895,-0.00218861487015761
16.3,5.540504653646548e-05,-0.0002094847266596803,-0.0030541343625259433,-0.0021211574307593442
16.400000000000002,9.885556056481668e-05,-0.0001724324902788809,-0.0029972949340783444,-0.0020541214168398885
16.5,0.0001425276593095118,-0.0001368144133869589,-0.0029391838236337894,-0.0019876061795888675
16.6,0.00018623004433416046,-0.00010265516139826494,-0.0028799904933658775,-0.0019217047661623037
16.7,0.00022978337598934226,-6.997357195651451e-05,-0.002819895964225902,-0.001856504033863651
16.8,0.00027302012238283153,-3.8782920906852995e-05,-0.0027590728543277457,-0.001792084774549173
16.900000000000002,0.0003157843795366414,-9.091191912021056e-06,-0.0026976854374434938,-0.0017285218482822795
17.0,0.00035793166493654053,1.9098651433452997e-05,-0.0026358897202343225,-0.0016658843252946398
17.1,0.0003993286866936949,4.578839210706068e-05,-0.002573833536893776,-0.001604235635359493
17.2,0.000439853090491661,7.098428583294668e-05,-0.002511656659904819,-0.0015436337237119317
17.3,0.0004793931863790347,9.469678788182836e-05,-0.00244949092560051,-0.0014841312126599286
17.400000000000002,0.0005178476574695263,0.00011694028142184881,-0.0023874603732829632,-0.0014257755680817808
17.5,0.0005551252525601854,0.00013773280828822517,-0.0023256813966918586,-0.0013686092700418392
17.6,0.000591144464621531,0.00015709580298123998,-0.0022642629066539207,-0.001312669986792191
17.7,0.000625833197064559,0.0001750538306508271,-0.0022033065037872536,-0.0012579907514657523
17.8,0.0006591284196796526,0.00019163432979875858,-0.002142906660196827,-0.0012046001408144516
17.900000000000002,0.0006909758159534748,0.00020686736030216593,-0.002083150909094541,-0.0011525224553550983
18.0,0.0007213294234327067,0.0002207853573252074,-0.002024120041331057,-0.0011017779003279014
18.1,0.0007501512687448417,0.0002334228916391133,-0.0019658883078757204,-0.001052382766910938
18.2,0.0007774109988071591,0.00024481643681381116,-0.001908523627321497,-0.001004349613166787
18.3,0.0008030855096808156,0.0002550041436926426,-0.001852087797537527,-0.00095768744423275
18.400000000000002,0.0008271585744890695,0.0002640256225327387,-0.0017966367106680278,-0.0009124018913183687
18.5,0.0008496204716761277,0.00027192173310622736,-0.0017422205706670681,-0.0008684953890755529
18.6,0.0008704676148048105,0.0002787343830097109,-0.001688884112600792,-0.0008259673509379055
18.7,0.000889702185028002,0.0002845063343924651,-0.001636666823005503,-0.0007848143420655801
18.8,0.0009073317672906345,0.00028928101926951015,-0.0015856031606293701,-0.0007450302495599512
18.900000000000002,0.0009233689912413044,0.0002931023635434335,-0.0015357227769277962,-0.0007066064496428239
19.0,0.0009378311777290128,0.00029601461980307425,-0.0014870507357962854,-0.0006695319715653579
19.1,0.0009507399917120925,0.0002980622089453388,-0.0014396077319931144,-0.0006337936579969603
19.200000000000003,0.0009621211023511536,0.00029928957064103594,-0.001393410307679232,-0.0005993763216334281
19.3,0.0009720038509691549,0.0002997410226222731,-0.0013484710665951157,-0.0005662628978212365
19.400000000000002,0.0009804209274904398,0.00029946062873689836,-0.0013047988854326782,-0.0005344345930197235
19.5,0.0009874080559049779,0.00029849207568785613,-0.00126239912199442,-0.0005038710289451915
19.6,0.000993003689361404,0.0002968785584184695,-0.001221273819683737,-0.0004745503822150103
19.700000000000003,0.0009972487155720325,0.00029466267415936386,-0.0011814219078102573,-0.00044644951927617937
19.8,0.001000186172326652,0.0002918863246536495,-0.0011428393978258106,-0.00041954412677522556
