Timestamps,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6
81.30000000000001,0.0019006366045594687,0.0003253512253590723,-0.0010034956305372438,0.00020451604377272158,-0.0008802208664632165,-0.0005713579949491393
81.4,0.001876682564907361,0.00031704426521664964,-0.0009752703414696565,0.00021094815853427355,-0.0008660705548796957,-0.0005542418549045418
81.5,0.0018525442798706041,0.0003088053415072659,-0.0009480574836152702,0.00021678140542625158,-0.000852388026685985,-0.0005377249731271195
81.60000000000001,0.0018282556582240883,0.0003006475167462748,-0.0009218246368662204,0.0002220437518804365,-0.0008391634929870032,-0.0005217901267863218
81.7,0.0018038495119482552,0.00029258291138240975,-0.0008965395969169082,0.00022676254219857907,-0.0008263865039173716,-0.0005064200534595008
81.80000000000001,0.0017793575181747853,0.0002846227221883968,-0.0008721704367472389,0.00023096447520051268,-0.0008140460275470977,-0.0004915974951058467
81.9,0.0017548101869611058,0.00027677724242911744,-0.0008486855635200955,0.00023467558477813444,-0.0008021305250374143,-0.00047730523921078846
82.0,0.0017302368346258435,0.0002690558836269435,-0.0008260537710491307,0.00023792122321806145,-0.0007906280220501935,-0.0004635261571501537
82.10000000000001,0.0017056655624126977,0.00026146719877145425,-0.0008042442879480578,0.0002407260471839518,-0.0007795261765111436,-0.00045024323987845593
82.2,0.0016811232402212113,0.00025401890680967916,-0.000783226821609207,0.00024311400623063052,-0.000768812342771566,-0.0004374396310116302
82.30000000000001,0.001656635495145606,0.000246717918260787,-0.0007629715981622888,0.00024510833372209354,-0.0007584736322213063,-0.00042509865737773835
82.4,0.0016322267045621552,0.00023957036180455744,-0.0007434493985643303,0.0002467315400284884,-0.0007484969704111827,-0.00041320385711110356
82.5,0.0016079199935068388,0.0002325816116986718,-0.0007246315909743372,0.00024800540787705237,-0.0007388691507499186,-0.00040173900536749884
82.60000000000001,0.0015837372360895283,0.00022575631588800038,-0.0007064901595645776,0.0002489509897358889,-0.000729576884846788,-0.00039068813774059826
82.7,0.0015596990606778919,0.00021909842466575878,-0.0006889977299344519,0.00024958860710294574,-0.0007206068496072257,-0.0003800355714794089
82.80000000000001,0.0015358248585333996,0.0002126112197221765,-0.0006721275913403139,0.0002499378515472117,-0.0007119457313295866,-0.0003697659246865322
82.9,0.0015121327956841633,0.00020629734348037233,-0.0006558537158709239,0.00025001758740078253,-0.000703580266863942,-0.0003598641335654622
83.0,0.0014886398280316375,0.00020015882874304224,-0.0006401507745180919,0.00024984595610696433,-0.0006954972816328673,-0.00035031546763052444
83.10000000000001,0.0014653617194764874,0.0001941971285513421,-0.0006249941502751994,0.00024944038212307794,-0.0006876837245919611,-0.0003411055429572563
83.2,0.001442313062697295,0.000188413146073619,-0.0006103599485194986,0.00024881758020646645,-0.0006801267003610249,-0.00033222033363851334
83.30000000000001,0.0014195073023483343,0.00018280726442332026,-0.0005962250048325905,0.0002479935639744955,-0.0006728134986299038,-0.0003236461815349973
83.4,0.0013969567603105324,0.00017737937623221752,-0.0005825668905272025,0.0002469836555641955,-0.0006657316210680603,-0.00031536980448056335
83.5,0.0013746726627161911,0.000172128912860484,-0.000569363916080189,0.0002458024962603769,-0.0006588688059044285,-0.0003073783030631578
83.60000000000001,0.0013526651687870335,0.0001670548733099591,-0.0005565951324085553,0.0002444640581163043,-0.0006522130500459765,-0.00029965916592651745
83.7,0.0013309434012601109,0.00016215585275251816,-0.0005442403301376233,0.00024298165646708753,-0.0006457526288841662,-0.00029220027370189606
83.80000000000001,0.0013095154783229123,0.00015743007067113552,-0.0005322800369036533,0.0002413679632999515,-0.0006394761137728682,-0.00028498990158109286
83.9,0.001288388546810156,0.00015287539851437343,-0.0005206955128708061,0.00023963502136574932,-0.0006333723873396884,-0.000278016720645472
84.0,0.0012675688162884385,0.00014848938669490035,-0.0005094687447538948,0.00023779425885299096,-0.0006274306569020327,-0.0002712697981281316
84.10000000000001,0.0012470615939580488,0.0001442692909410193,-0.0004985824383865012,0.00023585650459512065,-0.000621640466001055,-0.00026473859663235765
84.2,0.0012268713202473079,0.00014021209797781937,-0.0004880200099088249,0.00023383200376266879,-0.0006159917041201035,-0.00025841297236041557
84.30000000000001,0.0012070016049762372,0.00013631455051506177,-0.0004777655756673603,0.00023173043398125814,-0.0006104746146549792,-0.0002522831724063778
84.4,0.001187455263887246,0.00013257317147357336,-0.0004678039409183063,0.00022956092181866065,-0.0006050798012817591,-0.0002463398312113106
84.5,0.0011682343554708652,0.00012898428745736342,-0.00045812058757713827,0.00022733205949620206,-0.0005997982327485508,-0.0002405739662080498
84.60000000000001,0.0011493402179729784,0.00012554405145401984,-0.0004487016611299344,0.00022505192175677696,-0.0005946212461747202,-0.0002349769727154972
84.7,0.0011307735062111278,0.00012224846459715736,-0.00043953395637588163,0.000222728083082522,-0.0005895405491650859,-0.00022954061827250885
84.80000000000001,0.0011125342285522055,0.00011909339724374459,-0.00043060490288152493,0.00022036763474601385,-0.0005845482204031559,-0.00022425703622223507
84.9,0.001094621783576396,0.00011607460913621728,-0.00042190254963311174,0.00021797720199985662,-0.0005796367091239061,-0.00021911871879112013
85.0,0.0010770349963853845,0.00011318776867401811,-0.0004134155490430427,0.00021556296131451324,-0.0005747988335245153,-0.00021411850970312198
85.10000000000001,0.0010597721544668302,0.00011042847129086101,-0.0004051331403957782,0.00021313065761647496,-0.0005700277781926104,-0.0002092495963811385
85.2,0.0010428310430323432,0.00010779225693608681,-0.0003970451328139847,0.00021068562148248397,-0.0005653170906305779,-0.00020450550178666098
85.30000000000001,0.0010262089797537677,0.00010527462666185969,-0.00038914188782057603,0.00020823278624909053,-0.0005606606769501131,-0.0001998800759448386
85.4,0.0010099028488617403,0.00010287105833910622,-0.0003814143016752282,0.0002057767049371323,-0.0005560527967290997,-0.00019536748715383117
85.5,0.0009939091345692542,0.00010057702152283527,-0.0003738537876275793,0.00020332156691391077,-0.0005514880570432308,-0.0001909622128890146
85.60000000000001,0.0009782239537139104,9.838799144616264e-05,-0.00036645225801469714,0.00020087121434160944,-0.0005469614058439264,-0.00018665903050542896
85.7,0.0009628430875639879,9.629946215165349e-05,-0.00035920210625721845,0.00019842915838624923,-0.0005424681247521114,-0.0001824530077804826
85.80000000000001,0.0009477620127407895,9.430695877162136e-05,-0.0003520961888058083,0.00019599859516304294,-0.0005380038213321714,-0.00017833949333580292
