Parameter,Row,Col,Value
A,1,1,-0.16
A,1,2,-0.49
A,2,1,-0.02
A,2,2,-0.33
B1,1,1,0
B1,1,2,0
B1,2,1,0
B1,2,2,0
B2,1,1,-0.02
B2,1,2,-1
B2,2,1,0
B2,2,2,-1.31
C,1,1,0.08
C,1,2,0
C,2,1,0.06
C,2,2,0
P_SD,1,1,0.0775
P_SD,1,2,-0.0087
P_SD,2,1,-0.1066
P_SD,2,2,0.0299
P_SD,3,1,0.0440
P_SD,3,2,-0.0129
P_SD,4,1,0.8043
P_SD,4,2,-0.7577
freq,,,10
step,,,0.1
actionTime,,,5
restTime,,,25
cycles,,,10
